Case Record ID,Campaign Code
500PU0000101cSaYAI,SUBRE
500PU0000101g4kYAA,SUBRE
500PU00001013A1YAI,SUBRE
500PU0000101PC3YAM,SUBRE
500PU00001013bZYAQ,SUBRE
500PU00001017TbYAI,SUBRE
500PU0000101qyXYAQ,SUBRE
500PU0000101ee3YAA,SUBRE
500PU0000101MZ6YAM,SUBRE
500PU0000101qvJYAQ,SUBRE
500PU0000101e7pYAA,SUBRE
500PU0000101VxLYAU,SUBRE
500PU000010198yYAA,SUBRE
500PU000010122lYAA,SUBRE
500PU0000101qbyYAA,SUBRE
500PU00001013V1YAI,SUBRE
500PU0000101Qw9YAE,SUBRE
500PU0000101bBfYAI,SUBRE
500PU0000101i6YYAQ,SUBRE
500PU0000101AzQYAU,SUBRE
500PU0000100rjwYAA,SUBRE
500PU0000101pCtYAI,SUBRE
500PU0000101qqTYAQ,SUBRE
500PU0000101R5kYAE,SUBRE
500PU0000101CZsYAM,SUBRE
500PU00001011MfYAI,SUBRE
500PU0000100yAJYAY,SUBRE
500PU0000101cHIYAY,SUBRE
500PU0000101MxKYAU,SUBRE
500PU0000101qk1YAA,SUBRE
500PU0000101jsFYAQ,SUBRE
500PU0000101qiPYAQ,SUBRE
500PU0000101ZbBYAU,SUBRE
500PU0000101qfBYAQ,SUBRE
500PU0000101FcaYAE,SUBRE
500PU0000101exPYAQ,SUBRE
500PU0000101qdZYAQ,SUBRE
500PU0000101nW3YAI,SUBRE
500PU0000101gKwYAI,SUBRE
500PU0000101hDjYAI,SUBRE
500PU0000101UgMYAU,SUBRE
500PU0000101cNkYAI,SUBRE
500PU00001015TWYAY,SUBRE
500PU0000101on4YAA,SUBRE
500PU0000100rTgYAI,SUBRE
500PU0000101KHEYA2,SUBRE
500PU0000101qTtYAI,SUBRE
500PU0000101WwhYAE,SUBRE
500PU00001013RnYAI,SUBRE
500PU0000101qQfYAI,SUBRE
500PU0000100yAIYAY,SUBRE
500PU0000100qCjYAI,SUBRE
500PU0000101HBLYA2,SUBRO
500PU0000101NwiYAE,SUBRE
500PU0000101qP3YAI,SUBRE
500PU0000101qNRYAY,SUBRE
500PU0000100V6gYAE,SUBRE
500PU0000101oFCYAY,SUBRE
500PU0000101eXbYAI,SUBRE
500PU0000100dozYAA,SUBRE
500PU0000101ZMgYAM,SUBRE
500PU0000101fblYAA,SUBRE
500PU0000101qGzYAI,SUBRE
500PU0000101qDlYAI,SUBRE
500PU00001019nDYAQ,SUBRE
500PU00001012owYAA,SUBRE
500PU0000101lKYYAY,SUBRE
500PU0000101of1YAA,SUBRE
500PU0000101CVXYA2,SUBRE
500PU0000101LriYAE,SUBRE
500PU0000101nO1YAI,SUBRE
500PU0000100wJzYAI,SUBRE
500PU0000101OB8YAM,SUBRE
500PU0000101VpHYAU,SUBRE
500PU00001019K8YAI,SUBRE
500PU0000100jBMYAY,SUBRE
500PU00000zzy61YAA,SUBRE
500PU0000101q8vYAA,SUBRE
500PU0000101FFyYAM,SUBRE
500PU0000100jo3YAA,SUBRE
500PU0000101cPTYAY,SUBRE
500PU0000101XT0YAM,SUBRE
500PU0000101U6rYAE,SUBRE
500PU0000101fYXYAY,SUBRE
500PU00000zzCULYA2,SUBRE
500PU0000100cJPYAY,SUBRE
500PU0000101FeBYAU,SUBRE
500PU000010156xYAA,SUBRE
500PU0000101PNJYA2,SUBRE
500PU0000100YUGYA2,SUBRE
500PU0000100hF2YAI,SUBRE
500PU0000101l4QYAQ,SUBRE
500PU0000101GQTYA2,SUBRE
500PU0000101XPgYAM,SUBRE
500PU0000100nrgYAA,SUBRE
500PU0000101AoAYAU,SUBRE
500PU0000100hR9YAI,SUBRE
500PU0000101UpzYAE,SUBRE
500PU0000101ff0YAA,SUBRE
500PU0000101E3jYAE,SUBRE
500PU0000101RgtYAE,SUBRE
500PU0000101pnxYAA,SUBRE
500PU0000100V6eYAE,SUBRE
500PU0000101h7HYAQ,SUBRE
500PU0000101TPKYA2,SUBRE
500PU0000100vsMYAQ,SUBRE
500PU0000101SwGYAU,SUBRE
500PU0000101CZrYAM,SUBRE
500PU0000101ak9YAA,SUBRE
500PU0000101GIWYA2,SUBRE
500PU0000101pj7YAA,SUBRE
500PU0000101clvYAA,SUBRE
500PU0000101OefYAE,SUBRE
500PU0000101J1uYAE,SUBRE
500PU0000100smUYAQ,SUBRE
500PU000010156wYAA,SUBRE
500PU0000100xW1YAI,SUBRE
500PU0000101ogcYAA,SUBRE
500PU0000101IgoYAE,SUBRE
500PU0000101iuZYAQ,SUBRE
500PU0000101pftYAA,SUBRE
500PU0000100pv4YAA,SUBRE
500PU0000101peHYAQ,SUBRE
500PU0000101fJyYAI,SUBRE
500PU0000101Y8sYAE,SUBRE
500PU0000101BtrYAE,SUBRE
500PU0000101CbNYAU,SUBRE
500PU0000100ul5YAA,SUBRE
500PU00001017CJYAY,SUBRE
500PU0000101NwhYAE,SUBRE
500PU0000101WNBYA2,SUBRE
500PU0000101aXEYAY,SUBRE
500PU0000101pcfYAA,SUBRE
500PU0000101hnDYAQ,SUBRE
500PU00000zygVuYAI,SUBRE
500PU0000100YGKYA2,SUBRE
500PU0000101i9oYAA,SUBRE
500PU0000101DlzYAE,SUBRE
500PU0000101HETYA2,SUBRE
500PU0000101pWDYAY,SUBRE
500PU0000101WNAYA2,SUBRE
500PU0000101pSzYAI,SUBRE
500PU0000100uWTYAY,SUBRE
500PU0000101hoqYAA,SUBRE
500PU0000101pPlYAI,SUBRE
500PU0000100kYgYAI,SUBRE
500PU0000101EgSYAU,SUBRE
500PU0000101HROYA2,SUBRE
500PU00001014J0YAI,SUBRE
500PU0000101CBZYA2,SUBRE
500PU0000101CI3YAM,SUBRE
